"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
263020,"Beautiful quiet duplex at Bastille",1380153,"Armelle",NA,"Popincourt",48.85131,2.38344,"Entire home/apt",126,4,45,"1533052800",0.49,1,222
263044,"Cosy Flat- Paris/Opéra/Saint-Lazare",1380268,"Raphaelle",NA,"Élysée",48.87541,2.32621,"Entire home/apt",120,3,109,"1561219200",1.59,1,78
263237,"BEAUTIFUL 2 BR w/BALCONY NICE AREA",1345937,"Johanna",NA,"Vaugirard",48.83288,2.29451,"Entire home/apt",170,7,7,"1420646400",0.09,2,0
263389,"4* HAVEN in trendy North Marais",373051,"Benoit",NA,"Temple",48.86459,2.35958,"Entire home/apt",115,3,261,"1561219200",2.83,1,0
264167,"PARIS GORGEOUS 2BR+balcony",1345937,"Johanna",NA,"Vaugirard",48.83422,2.29446,"Entire home/apt",170,7,0,"",NA,2,0
265648,"Heart of Paris on Ile St. Louis",1393124,"Barbara",NA,"Hôtel-de-Ville",48.85196,2.35402,"Entire home/apt",65,4,145,"1560700800",1.84,1,9
266484,"Lovely Apartment/Bois de Vincennes (with a piano)",1397411,"Hélène",NA,"Ménilmontant",48.84897,2.41614,"Entire home/apt",60,2,27,"1496851200",0.31,1,278
266648,"Jardin du Luxembourg - Assas Paris",259503,"Marion",NA,"Observatoire",48.84119,2.32999,"Entire home/apt",127,15,39,"1445702400",0.44,2,312
266725,"Cosy Flat and Eiffel Romantic View at Montmartre",1395914,"Pierre",NA,"Buttes-Montmartre",48.88688,2.33241,"Entire home/apt",115,2,92,"1562515200",1.06,1,324
266812,"Room fully independent",1399053,"Marielena",NA,"Entrepôt",48.87249,2.36984,"Entire home/apt",45,4,95,"1557763200",1.68,1,130
266838,"Appartement Paris/Père Lachaise",1387678,"Celina",NA,"Popincourt",48.86515,2.3843,"Entire home/apt",72,1,1,"1386518400",0.01,1,0
268302,"By the water and up in the sky !",1406251,"Fabienne",NA,"Buttes-Chaumont",48.88743,2.3764,"Entire home/apt",60,3,12,"1545062400",0.15,1,0
270067,"3 or 4 bedrooms Champs Elysées",1414111,"Christian",NA,"Élysée",48.87307,2.31402,"Entire home/apt",600,3,33,"1562601600",0.44,1,314
